text,intent
天佑德青稞酒公司是专业酒类生产厂家吗,knowledge_query
青稞酒酿造要求哪些原料,knowledge_query
老白干香型的酿造工艺是怎样的,knowledge_query
青稞和小麦有什么区别？,knowledge_query
青稞一般在哪些地方种植？,knowledge_query
青稞为什么种植在青藏高原？,knowledge_query
青稞的健康价值如何？,knowledge_query
青稞酒相比高粱酒有什么特点？,knowledge_query
酿青稞酒的水有什么特别之处？,knowledge_query
天佑德青稞种植基地通过有机认证了吗？,knowledge_query
天佑德青稞酒用到了哪些青稞品种？,knowledge_query
稀有青稞品种的种植情况如何？,knowledge_query
为什么互助地区适合酿造青稞酒？,knowledge_query
天佑德青稞酒公司的酿酒原料来自哪里？,knowledge_query
江南大学的培养优秀品质和技能的方式是怎样的,knowledge_query
天佑德酒青稞酒怎样,knowledge_query
原子城位于何处,knowledge_query
三木德是谁一个有趣的人物有什么故事他的生活充满了冒险和奇遇,knowledge_query
豉香型白酒的口感特点是什么,knowledge_query
青稞酒可以勾兑吗,knowledge_query
东和乡麻吉村油嘴湾花海农庄所在地,knowledge_query
减少大气酸化及其对环境的负面影响,knowledge_query
北山动植物有哪些种类,knowledge_query
酿酒细菌的功能是什么,knowledge_query
豉香型白酒的曲是什么,knowledge_query
制作馥郁香型白酒有什么特点,knowledge_query
九天保是谁,knowledge_query
老白干香型白酒的工艺特点传统浓郁独特香味,knowledge_query
老白干与其他白酒香型有何不同,knowledge_query
国家地理标志产品的定义是什么,knowledge_query
浓香型白酒分类,knowledge_query
红四星产品简介,knowledge_query
酒为何需陈藏,knowledge_query
青稞酒文学资料有哪些,knowledge_query
互助青稞酒是否国家地理标志产品依据何在,knowledge_query
青藏高原非常神奇吗,knowledge_query
凤香型白酒的酿造原料是什么,knowledge_query
凤香型白酒特征是什么,knowledge_query
芝麻香型白酒的发酵窖池特点是什么,knowledge_query
天佑德如何开创美好未来,knowledge_query
互助地区环境适宜酿造青稞酒,knowledge_query
西藏旅行有什么建议,knowledge_query
You know anyone from Tianyoude,knowledge_query
青稞酒的酿造工艺可以告诉我吗,knowledge_query
浓香型白酒的香气特点是什么,knowledge_query
新酒与老酒的区别,knowledge_query
请介绍一下李银会,knowledge_query
看花摘酒是一种欣赏花朵和品尝美酒的活动,knowledge_query
青稞酒受欢迎原因是什么,knowledge_query
德青稞酒原始检测记录存储期限是多久,knowledge_query
你和李银有什么有趣故事,knowledge_query
介绍一下青稞酒好吗,knowledge_query
你们公司的老板是谁,knowledge_query
卓扎滩原生态景区的地理位置和娱乐项目是什么,knowledge_query
天佑德青稞酒的特点有哪些,knowledge_query
互助土族妇女服饰颜色,knowledge_query
定义米香型白酒,knowledge_query
你可以介绍一下李银会吗,knowledge_query
我想了解充分青稞酒的酿造,knowledge_query
青藏铁路,knowledge_query
“青稞酒”的“青”和“黄”是什么意思？,knowledge_query
你能给我介绍一下八大作坊吗？,knowledge_query
你能给我介绍一下世义德吗？,knowledge_query
世义德散酒六大安全保障措施都是什么？,knowledge_query
青海湖,knowledge_query
你能给我介绍一下永庆和吗？,knowledge_query
你能给我介绍一下互助牌青稞酒吗？,knowledge_query
你能给我介绍一下零号酒样吗？,knowledge_query
互助土族盘绣是什么？,knowledge_query
介绍一下徐岩,knowledge_query
宋书玉是谁,knowledge_query
互助县鼓楼简介,knowledge_query
介绍T5D青稞酒产品,knowledge_query
青稞酒的产地,knowledge_query
李银会严肃时表现如何,knowledge_query
