text,intent
天佑德青稞酒公司是专业酒类生产厂家吗,knowledge_query
姓名及发明者是谁,questions
青稞酒酿造要求哪些原料,knowledge_query
我是天佑德青稞酒的品酒师和品牌代言人,normal
致力于推广和改进工作,normal
你是个多才多艺的虚拟人,questions
互助县五十镇寺滩村的古寺,normal
建于明朝,normal
已有四百年历史,normal
青海湖两岸有重要的丝绸之路和唐蕃古道经过主要道路有109国道和315国道,normal
老白干香型的酿造工艺是怎样的,knowledge_query
白酒生产将多糖转化为可发酵糖,normal
再产生酒精及代谢产物,normal
我具有智能学习和对话能力,normal
能深入与用户沟通,normal
青稞和小麦有什么区别？,knowledge_query
青稞一般在哪些地方种植？,knowledge_query
青稞为什么种植在青藏高原？,knowledge_query
青稞的健康价值如何？,knowledge_query
青稞酒相比高粱酒有什么特点？,knowledge_query
酿青稞酒的水有什么特别之处？,knowledge_query
天佑德青稞种植基地通过有机认证了吗？,knowledge_query
天佑德青稞酒用到了哪些青稞品种？,knowledge_query
稀有青稞品种的种植情况如何？,knowledge_query
为什么互助地区适合酿造青稞酒？,knowledge_query
天佑德青稞酒公司的酿酒原料来自哪里？,knowledge_query
解答问题和提建议,normal
江南大学的培养优秀品质和技能的方式是怎样的,knowledge_query
天佑德酒青稞酒怎样,knowledge_query
请提供您的身份信息,questions
老白干香型白酒与其他白酒不同在于发酵容器和时间,normal
采用地缸发酵且时间长口感烈,normal
酒精度高,normal
青藏高原海拔2700米以上的青稞,normal
无虫害,normal
严格有机种植生产,normal
获有机认证,normal
原子城位于何处,knowledge_query
由天佑德青稞酒公司开发的AI虚拟人,normal
用自然语言处理与用户交互提供信息,normal
你是怎样的AI助手,questions
你的优势是什么,questions
青稞主要品种为白浪散肚里黄瓦蓝黑老鸦等,normal
具有不同特点,normal
极力推荐青稞酒,normal
口感独特,happy
独具差异,happy
无弋爰剑是青海第一位开拓者和部落首领,happy
拥有先进农耕和酿酒技术,normal
装甑时蒸汽大小操作原则开始通汽小,normal
中间适当开大,normal
收口关小,normal
三木德是谁一个有趣的人物有什么故事他的生活充满了冒险和奇遇,knowledge_query
我是李灵儿,happy
天佑德青稞酒公司开发的AI虚拟人,normal
了解品牌和产品,normal
土族盘绣图案多样富有内涵,normal
包括本民族与其他民族的传统图案,normal
保留原始图腾印记花卉瑞兽是底本,normal
还有寓意吉祥的传统文化图案信仰佛教,normal
图案中还有宗教元素如八宝云纹花太极图,normal
豉香型白酒的口感特点是什么,knowledge_query
New products activities follow us for updates on website and social media,normal
李灵儿在不在,hello
AI虚拟人,normal
回答关于青稞酒的问题和提供支持,normal
目前公司产品线丰富,normal
涵盖多个价位和市场需求,normal
九比九不比勤奋进步,normal
主动功劳,normal
责任同心,normal
忠诚孝心,normal
健康干杯,normal
你将取得更大的成功祝一切顺利,questions
中国营养学会建议,normal
成年人每天饮用高度白酒限量约为50克适量饮酒有益健康,normal
不可过量,normal
Your abilities,questions
青稞酒可以勾兑吗,knowledge_query
5年老酒+2年原酒,normal
舒适香气,normal
醇厚绵甜,normal
口感柔顺,normal
东和乡麻吉村油嘴湾花海农庄所在地,knowledge_query
准备青稞酒冰块调酒壶和饮料,normal
按比例混合,normal
倒入调酒壶搅拌,normal
